3,1760,RIACHAO,,,TOBIAS BARRETO,,,600
3,1761,TANQUE NOVO,,,TOBIAS BARRETO,,,450
3,2088,LAGARTO,,,PAU DE COLHER,,,850
3,2371,TANQUE NOVO,,,TOBIAS BARRETO,,,450
3,2715,LAGARTO,,,FERRO VELHO,,,500
3,2716,LAGARTO,,,SOBRADO,,,350
3,3362,LAGARTO,,,TOBIAS,,,850
3,5131,ARACAJU,,,POV. SAQUINHO,,,1900
3,5132,POSTO FISCAL,,,POV. SAQUINHO,,,1550
3,5134,ENTR. SAO CRISTOVAO,,,POV. SAQUINHO,,,1200
3,5135,ANINGAS,,,POV. SAQUINHO,,,1100
3,5136,ITAPORANGA,,,POV. SAQUINHO,,,1200
3,5137,ENTR. SALGADO,,,POV. SAQUINHO,,,1150
3,5138,CARLOS TORRES,,,POV. SAQUINHO,,,900
3,5139,SALGADO,,,POV. SAQUINHO,,,1000
3,5140,AGUA FRIA,,,POV. SAQUINHO,,,1100
3,5141,COLONIA 13,,,POV. SAQUINHO,,,1000
3,5142,LAGARTO,,,POV. SAQUINHO,,,750
3,5143,CURRALINHO,,,POV. SAQUINHO,,,550
3,5144,RIACHAO,,,POV. SAQUINHO,,,550
3,5145,TANQUE NOVO,,,POV. SAQUINHO,,,350
3,5146,POV. SAQUINHO,,,TOBIAS BARRETO,,,400
3,5503,ARACAJU,,,COLONIA 13,,,900
3,5518,ARACAJU,,,TOBIAS BARRETO,,,1900
3,6115,ARACAJU,,,TANQUE,,,1400
3,6116,POSTO FISCAL,,,TANQUE,,,1300
3,6118,ENTR. SAO CRISTOVAO,,,TANQUE,,,1100
3,6119,ANINGAS,,,TANQUE,,,950
3,6120,ITAPORANGA,,,TANQUE,,,950
3,6121,ENTR. SALGADO,,,TANQUE,,,800
3,6122,CARLOS TORRES,,,TANQUE,,,600
3,6123,SALGADO,,,TANQUE,,,600
3,6124,AGUA FRIA,,,TANQUE,,,550
3,6125,COLONIA 13,,,TANQUE,,,600
3,6126,LAGARTO,,,TANQUE,,,400
3,6127,TANQUE,,,CURRALINHO,,,300
3,6128,TANQUE,,,RIACHAO,,,300
3,6129,TANQUE,,,TANQUE NOVO,,,550
3,6130,TANQUE,,,POV. SAQUINHO,,,600
3,6131,TANQUE,,,TOBIAS BARRETO,,,700
3,9999,PASSE LIVRE,,,PASSE LIVRE,,,0
4,1413,ARACAJU,,,POSTO FISCAL,,,310
4,1414,ARACAJU,,,CAJUEIRO,,,150
4,1415,ARACAJU,,,ENTR. S. CRISTOVAO,,,245
4,1416,ARACAJU,,,ANINGAS,,,230
4,1417,ARACAJU,,,ITAPORANGA,,,340
4,1418,ARACAJU,,,ENTR. SALGADO,,,550
4,1419,ARACAJU,,,CARLOS TORRES,,,650
4,1420,ARACAJU,,,SALGADO,,,800
4,1421,ARACAJU,,,AGUA FRIA,,,850
4,1423,ARACAJU,,,F. CONCEICAO,,,1000
4,1425,ARACAJU,,,BOQUIM,,,1100
4,1428,ARACAJU,,,PEDRINHAS VIA BOQUIM,,,1200
4,1429,ARACAJU,,,RIACHAO,,,1450
4,1430,ARACAJU,,,BARRO PRETO,,,1450
4,1431,ARACAJU,,,TANQUE NOVO,,,1450
4,1433,ARACAJU,,,TOBIAS BARRETO VIA BOQUIM,,,1900
4,1434,POSTO FISCAL,,,CAJUEIRO,,,245
4,1435,POSTO FISCAL,,,ENTR. S. CRISTOVAO,,,150
4,1436,POSTO FISCAL,,,ANINGAS,,,150
4,1437,POSTO FISCAL,,,ITAPORANGA,,,270
4,1438,POSTO FISCAL,,,ENTR. SALGADO,,,550
4,1439,POSTO FISCAL,,,CARLOS TORRES,,,600
4,1440,POSTO FISCAL,,,SALGADO,,,650
4,1441,POSTO FISCAL,,,AGUA FRIA,,,700
4,1443,POSTO FISCAL,,,F. CONCEICAO,,,750
4,1445,POSTO FISCAL,,,BOQUIM,,,800
4,1448,POSTO FISCAL,,,PEDRINHAS,,,900
4,1449,POSTO FISCAL,,,RIACHAO,,,1000
4,1450,POSTO FISCAL,,,BARRO PRETO,,,1150
4,1451,POSTO FISCAL,,,TANQUE NOVO,,,1200
4,1453,POSTO FISCAL,,,TOBIAS BARRETO,,,1300
4,1454,CAJUEIRO,,,ENTR. S. CRISTOVAO,,,150
4,1455,CAJUEIRO,,,ANINGAS,,,150
4,1456,CAJUEIRO,,,ITAPORANGA,,,150
4,1457,CAJUEIRO,,,ENTR. SALGADO,,,300
4,1458,CAJUEIRO,,,CARLOS TORRES ,,,350
4,1459,CAJUEIRO,,,SALGADO,,,450
4,1460,CAJUEIRO,,,AGUA FRIA,,,500
4,1462,CAJUEIRO,,,F. CONCEICAO,,,650
4,1464,CAJUEIRO,,,BOQUIM,,,650
4,1467,CAJUEIRO,,,PEDRINHAS,,,900
4,1468,CAJUEIRO,,,RIACHAO,,,1000
4,1469,CAJUEIRO,,,BARRO PRETO,,,1100
4,1470,CAJUEIRO,,,TANQUE NOVO,,,1150
4,1472,CAJUEIRO,,,TOBIAS BARRETO,,,1250
4,1473,ENTR. S. CRISTOVAO,,,ANINGAS,,,150
4,1474,ENTR. S. CRISTOVAO,,,ITAPORANGA,,,200
4,1475,ENTR. S. CRISTOVAO,,,ENTR. SALGADO,,,200
4,1476,ENTR. S. CRISTOVAO,,,CARLOS TORRES,,,300
4,1477,ENTR. S. CRISTOVAO,,,SALGADO,,,400
4,1478,ENTR. S. CRISTOVAO,,,AGUA FRIA,,,450
4,1480,ENTR. S. CRISTOVAO,,,F. CONCEICAO,,,550
4,1482,ENTR. S. CRISTOVAO,,,BOQUIM,,,650
4,1485,ENTR. S. CRISTOVAO,,,PEDRINHAS,,,800
4,1486,ENTR. S. CRISTOVAO,,,RIACHAO,,,900
4,1487,ENTR. S. CRISTOVAO,,,BARRO PRETO,,,1000
4,1488,ENTR. S. CRISTOVAO,,,TANQUE NOVO,,,1100
4,1490,ENTR. S. CRISTOVAO,,,TOBIAS BARRETO,,,1100
4,1491,ANINGAS,,,ITAPORANGA,,,150
4,1492,ANINGAS,,,ENTR. SALGADO,,,200
4,1493,ANINGAS,,,CARLOS TORRES,,,200
4,1494,ANINGAS,,,SALGADO,,,350
4,1495,ANINGAS,,,AGUA FRIA,,,400
4,1497,ANINGAS,,,F. CONCEICAO,,,550
4,1499,ANINGAS,,,BOQUIM,,,650
4,1502,ANINGAS,,,PEDRINHAS,,,800
4,1503,ANINGAS,,,RIACHAO,,,950
4,1504,ANINGAS,,,BARRO PRETO,,,1000
4,1505,ANINGAS,,,TANQUE NOVO,,,1050
4,1507,ANINGAS,,,TOBIAS BARRETO,,,1150
4,1508,ITAPORANGA,,,ENTR. SALGADO,,,200
4,1509,ITAPORANGA,,,CARLOS TORRES,,,300
4,1510,ITAPORANGA,,,SALGADO,,,400
4,1511,ITAPORANGA,,,AGUA FRIA,,,450
4,1513,ITAPORANGA,,,F. CONCEICAO,,,550
4,1515,ITAPORANGA,,,BOQUIM,,,600
4,1518,ITAPORANGA,,,PEDRINHAS,,,700
4,1519,ITAPORANGA,,,RIACHAO,,,800
4,1520,ITAPORANGA,,,BARRO PRETO,,,900
4,1521,ITAPORANGA,,,TANQUE NOVO,,,950
4,1523,ITAPORANGA,,,TOBIAS BARRETO,,,1100
4,1524,ENTR. SALGADO,,,CARLOS TORRES,,,200
4,1525,ENTR. SALGADO,,,SALGADO,,,250
4,1526,ENTR. SALGADO,,,AGUA FRIA,,,350
4,1528,ENTR. SALGADO,,,F. CONCEICAO,,,500
4,1530,ENTR. SALGADO,,,BOQUIM,,,550
4,1533,ENTR. SALGADO,,,PEDRINHAS,,,600
4,1534,ENTR. SALGADO,,,RIACHAO,,,700
4,1535,ENTR. SALGADO,,,BARRO PRETO,,,800
4,1536,ENTR. SALGADO,,,TANQUE NOVO,,,900
4,1538,ENTR. SALGADO,,,TOBIAS BARRETO,,,1000
4,1539,CARLOS TORRES,,,SALGADO,,,200
4,1540,CARLOS TORRES,,,AGUA FRIA,,,350
4,1542,CARLOS TORRES,,,F. CONCEICAO,,,400
4,1544,CARLOS TORRES,,,BOQUIM,,,450
4,1547,CARLOS TORRES,,,PEDRINHAS,,,500
4,1548,CARLOS TORRES,,,RIACHAO,,,700
4,1549,CARLOS TORRES,,,BARRO PRETO,,,800
4,1550,CARLOS TORRES,,,TANQUE NOVO,,,800
4,1552,CARLOS TORRES,,,TOBIAS BARRETO,,,950
4,1553,SALGADO,,,AGUA FRIA,,,200
4,1555,SALGADO,,,F. CONCEICAO,,,250
4,1557,SALGADO,,,BOQUIM,,,300
4,1560,SALGADO,,,PEDRINHAS,,,400
4,1561,SALGADO,,,RIACHAO,,,550
4,1562,SALGADO,,,BARRO PRETO,,,650
4,1563,SALGADO,,,TANQUE NOVO,,,700
4,1565,SALGADO,,,TOBIAS BARRETO,,,800
4,1569,AGUA FRIA,,,BOQUIM,,,250
4,1572,AGUA FRIA,,,PEDRINHAS,,,300
4,1573,AGUA FRIA,,,RIACHAO,,,550
4,1574,AGUA FRIA,,,BARRO PRETO,,,600
4,1575,AGUA FRIA,,,TANQUE NOVO,,,650
4,1577,AGUA FRIA,,,TOBIAS BARRETO,,,800
4,1589,F. CONCEICAO,,,BOQUIM,,,200
4,1592,F. CONCEICAO,,,PEDRINHAS,,,200
4,1593,F. CONCEICAO,,,RIACHAO,,,450
4,1594,F. CONCEICAO,,,BARRO PRETO,,,500
4,1595,F. CONCEICAO,,,TANQUE NOVO,,,550
4,1597,F. CONCEICAO,,,TOBIAS BARRETO,,,800
4,1609,BOQUIM,,,PEDRINHAS,,,200
4,1610,BOQUIM,,,RIACHAO,,,550
